player_id,player_name,season,team,age,games,targets,team_targets,target_share,fantasy_points_ppr,fantasy_ppg,positional_finish,target_share_bucket
00-0027918,Andrew Hawkins,2016,CLE,30.0,16.0,54,558,0.0967741935483871,83.4,5.2125,89.0,<10%
00-0031325,Sammy Watkins,2016,BUF,23.0,8.0,52,459,0.11328976034858387,83.0,10.375,90.0,10-15%
00-0030669,Albert Wilson,2016,KC,24.0,14.0,51,536,0.09514925373134328,81.9,5.8500000000000005,91.0,<10%
00-0032166,Sammie Coates,2016,PIT,23.0,14.0,49,590,0.08305084745762711,77.9,5.564285714285715,92.0,<10%
00-0030450,Quinton Patton,2016,SF,26.0,13.0,63,487,0.1293634496919918,77.8,5.984615384615385,93.0,10-15%
00-0030801,Brandon Coleman,2016,NO,24.0,14.0,38,664,0.0572289156626506,72.1,5.1499999999999995,94.0,<10%
00-0030147,Russell Shepard,2016,TB,26.0,13.0,40,571,0.07005253940455342,70.0,5.384615384615385,95.0,<10%
00-0026035,Danny Amendola,2016,NE,31.0,12.0,29,546,0.05311355311355311,69.3,5.7749999999999995,96.0,<10%
00-0028497,Kamar Aiken,2016,BAL,27.0,16.0,50,665,0.07518796992481203,67.8,4.2375,97.0,<10%
00-0031570,Justin Hardy,2016,ATL,25.0,13.0,31,530,0.05849056603773585,65.3,5.023076923076923,98.0,<10%
00-0027996,Torrey Smith,2016,SF,27.0,12.0,49,487,0.10061601642710473,64.7,5.391666666666667,99.0,10-15%
00-0028116,Aldrick Robinson,2016,ATL,28.0,13.0,32,530,0.06037735849056604,64.3,4.946153846153846,100.0,<10%
00-0031118,Corey Brown,2016,CAR,25.0,16.0,53,553,0.09584086799276673,61.2,3.825,101.0,<10%
00-0027595,Bryan Walters,2016,JAX,29.0,10.0,34,623,0.05457463884430177,59.5,5.95,102.0,<10%
00-0029388,Deonte Thompson,2016,CHI,27.0,15.0,36,550,0.06545454545454546,58.9,3.9266666666666667,103.0,<10%
00-0029319,Josh Bellamy,2016,CHI,27.0,13.0,38,550,0.06909090909090909,56.9,4.3769230769230765,104.0,<10%
00-0031257,Paul Richardson,2016,SEA,24.0,13.0,36,548,0.06569343065693431,56.3,4.3307692307692305,105.0,<10%
00-0030516,Brice Butler,2016,DAL,26.0,14.0,32,479,0.06680584551148225,55.9,3.992857142857143,106.0,<10%
00-0030521,Justin Hunter,2016,BUF,25.0,10.0,24,459,0.05228758169934641,52.9,5.29,107.0,<10%
00-0030290,Cobi Hamilton,2016,PIT,26.0,11.0,28,590,0.04745762711864407,52.4,4.763636363636364,108.0,<10%
00-0027691,Andre Roberts,2016,DET,28.0,16.0,25,580,0.04310344827586207,50.8,3.175,109.0,<10%
00-0029129,Rod Streater,2016,SF,28.0,14.0,27,487,0.055441478439425054,49.1,3.507142857142857,110.0,<10%
00-0026739,Jordan Norwood,2016,DEN,30.0,14.0,35,556,0.06294964028776978,48.2,3.442857142857143,111.0,<10%
00-0031697,Jordan Taylor,2016,DEN,24.0,11.0,25,556,0.044964028776978415,46.9,4.263636363636364,112.0,<10%
00-0032355,Chester Rogers,2016,IND,22.0,14.0,34,572,0.05944055944055944,46.3,3.307142857142857,113.0,<10%
00-0028263,Andre Holmes,2016,LV,28.0,16.0,25,589,0.042444821731748725,44.6,2.7875,114.0,<10%
00-0032626,Geronimo Allison,2016,GB,22.0,7.0,22,614,0.035830618892508145,44.2,6.314285714285715,115.0,<10%
00-0030113,Charles D. Johnson,2016,MIN,27.0,14.0,37,585,0.06324786324786325,43.2,3.085714285714286,116.0,<10%
00-0026983,Darrius Heyward-Bey,2016,PIT,29.0,7.0,19,590,0.03220338983050847,41.4,5.914285714285714,117.0,<10%
00-0030990,Josh Huff,2016,PHI/TB,25.0,10.0,23,1175,0.01957446808510638,40.800000000000004,4.08,118.0,<10%
00-0027690,Eric Decker,2016,NYJ,29.0,3.0,21,546,0.038461538461538464,40.4,13.466666666666667,119.0,<10%
00-0032694,Jalin Marshall,2016,NYJ,21.0,10.0,23,546,0.04212454212454213,40.2,4.0200000000000005,120.0,<10%
00-0031545,Kevin White,2016,CHI,24.0,4.0,36,550,0.06545454545454546,38.6,9.65,121.0,<10%
00-0033079,Ricardo Louis,2016,CLE,22.0,14.0,35,558,0.06272401433691756,38.5,2.75,122.0,<10%
00-0032959,Charone Peake,2016,NYJ,24.0,12.0,35,546,0.0641025641025641,37.6,3.1333333333333333,123.0,<10%
00-0030670,Bennie Fowler,2016,DEN,25.0,12.0,24,556,0.04316546762589928,37.5,3.125,124.0,<10%
00-0032795,Cody Core,2016,CIN,22.0,7.0,27,542,0.04981549815498155,37.0,5.285714285714286,125.0,<10%
00-0032475,Tanner McEvoy,2016,SEA,23.0,8.0,11,548,0.020072992700729927,36.72,4.59,126.0,<10%
00-0031001,Jeff Janis,2016,GB,25.0,14.0,19,614,0.030944625407166124,36.1,2.5785714285714287,127.0,<10%
00-0026224,Harry Douglas,2016,TEN,32.0,8.0,22,490,0.044897959183673466,36.0,4.5,128.0,<10%
00-0030300,Jaron Brown,2016,ARI,26.0,6.0,22,636,0.03459119496855346,35.7,5.95,129.0,<10%
00-0023496,Vincent Jackson,2016,TB,33.0,5.0,32,571,0.05604203152364273,32.3,6.459999999999999,130.0,<10%
00-0030047,Marquess Wilson,2016,CHI,24.0,3.0,16,550,0.02909090909090909,31.0,10.333333333333334,131.0,<10%
00-0033069,Braxton Miller,2016,HOU,24.0,10.0,28,577,0.04852686308492201,30.9,3.09,132.0,<10%
00-0022044,Andre Johnson,2016,TEN,35.0,6.0,23,490,0.04693877551020408,29.5,4.916666666666667,133.0,<10%
00-0032659,Roger Lewis,2016,NYG,23.0,10.0,19,597,0.031825795644891124,28.7,2.87,134.0,<10%
00-0030737,Freddie Martino,2016,TB,25.0,7.0,11,571,0.01926444833625219,28.2,4.0285714285714285,135.0,<10%
00-0031268,Walt Powell,2016,BUF,25.0,7.0,25,459,0.054466230936819175,28.2,4.0285714285714285,136.0,<10%
00-0031560,Jaelen Strong,2016,HOU,22.0,6.0,24,577,0.0415944540727903,27.1,4.516666666666667,137.0,<10%
00-0031854,Chris Harper,2016,SF,23.0,8.0,21,487,0.043121149897330596,26.3,3.2875,138.0,<10%
00-0028052,Cecil Shorts,2016,TB,29.0,7.0,27,571,0.047285464098073555,26.2,3.742857142857143,139.0,<10%
00-0027057,Brandon Tate,2016,BUF,29.0,15.0,11,459,0.023965141612200435,24.5,1.6333333333333333,140.0,<10%
00-0029572,Jarius Wright,2016,MIN,27.0,4.0,14,585,0.023931623931623933,23.700000000000003,5.925000000000001,141.0,<10%
00-0031291,James Wright,2016,CIN,25.0,12.0,19,542,0.03505535055350553,23.0,1.9166666666666667,142.0,<10%
00-0027654,Arrelious Benn,2016,JAX,28.0,12.0,10,623,0.016051364365971106,22.6,1.8833333333333335,143.0,<10%
00-0033111,Pharoh Cooper,2016,LA,21.0,9.0,20,530,0.03773584905660377,22.6,2.511111111111111,144.0,<10%
00-0032841,Paul Turner,2016,PHI,23.0,3.0,14,604,0.023178807947019868,21.6,7.2,145.0,<10%
00-0029336,Brittan Golden,2016,ARI,28.0,12.0,14,636,0.0220125786163522,20.200000000000003,1.6833333333333336,146.0,<10%
00-0032398,Chris Moore,2016,BAL,23.0,14.0,16,665,0.02406015037593985,19.5,1.3928571428571428,147.0,<10%
00-0028050,Greg Salas,2016,BUF,28.0,2.0,6,459,0.013071895424836602,18.9,9.45,148.0,<10%
00-0030460,Markus Wheaton,2016,PIT,25.0,3.0,9,590,0.015254237288135594,17.099999999999998,5.699999999999999,149.0,<10%
00-0031600,Keith Mumphery,2016,HOU,24.0,8.0,12,577,0.02079722703639515,16.9,2.1125,150.0,<10%
00-0031068,Ryan Grant,2016,WAS,26.0,12.0,19,593,0.03204047217537943,16.6,1.3833333333333335,151.0,<10%
