team,games,total_yds,total_ypg,pass_yds,pass_ypg,rush_yds,rush_ypg,points,points_per_game
Alabama,15,5515,367.7,3953,263.5,1562,104.1,443,29.5
Penn St.,13,4706,362.0,2439,187.6,2267,174.4,405,31.2
Buffalo,12,4336,361.3,2748,229.0,1588,132.3,288,24.0
Maryland,12,4320,360.0,3068,255.7,1252,104.3,282,23.5
Louisiana Tech,13,4669,359.2,2129,163.8,2540,195.4,355,27.3
California,13,4649,357.6,3587,275.9,1062,81.7,329,25.3
New Mexico,13,4639,356.8,2662,204.8,1977,152.1,364,28.0
San Diego St.,13,4633,356.4,2050,157.7,2583,198.7,343,26.4
Oklahoma,13,4606,354.3,3066,235.8,1540,118.5,341,26.2
Fresno St.,13,4600,353.8,2384,183.4,2216,170.5,335,25.8
Akron,12,4242,353.5,2628,219.0,1614,134.5,267,22.3
Oregon St.,12,4197,349.8,2710,225.8,1487,123.9,218,18.2
West Virginia,12,4194,349.5,2267,188.9,1927,160.6,261,21.8
Virginia Tech,12,4185,348.8,1996,166.3,2189,182.4,257,21.4
Northwestern,13,4499,346.1,2417,185.9,2082,160.2,304,23.4
Michigan St.,12,4146,345.5,2672,222.7,1474,122.8,295,24.6
Louisiana,13,4487,345.2,2105,161.9,2382,183.2,338,26.0
Temple,12,4138,344.8,2369,197.4,1769,147.4,334,27.8
Purdue,12,4123,343.6,2606,217.2,1517,126.4,225,18.8
Western Mich.,14,4798,342.7,1939,138.5,2859,204.2,348,24.9
Florida,12,4096,341.3,2455,204.6,1641,136.8,259,21.6
Kentucky,12,4093,341.1,2423,201.9,1670,139.2,276,23.0
Syracuse,12,4085,340.4,2607,217.3,1478,123.2,242,20.2
Washington St.,13,4403,338.7,2737,210.5,1666,128.2,293,22.5
Miami (OH),14,4726,337.6,2622,187.3,2104,150.3,331,23.6
South Carolina,12,4036,336.3,2703,225.3,1333,111.1,272,22.7
Army,13,4365,335.8,1051,80.8,3314,254.9,310,23.8
LSU,13,4336,333.5,2984,229.5,1352,104.0,297,22.8
UTEP,12,3982,331.8,2595,216.3,1387,115.6,280,23.3
Central Mich.,13,4297,330.5,2172,167.1,2125,163.5,293,22.5
Colorado,12,3941,328.4,2434,202.8,1507,125.6,251,20.9
New Mexico St.,12,3935,327.9,3008,250.7,927,77.3,259,21.6
Coastal Carolina,13,4230,325.4,2204,169.5,2026,155.8,288,22.2
Colorado St.,12,3890,324.2,2591,215.9,1299,108.3,222,18.5
UL Monroe,12,3882,323.5,1925,160.4,1957,163.1,199,16.6
