player_name,team,age,adp,player_id,team_target_share,games_played,target_share_data_quality_flag,redzone_touches,redzone_touch_share,inside_10_carry_share,explosive_run_rate,third_down_snap_share,route_participation_rate,carries,targets,total_touches,opportunity_share,target_share_of_backfield,yards_per_touch,depth_chart_rank,archetype_primary,down_split,lean
Phil Mafah,DAL,23.0,216.0,00-0040021,0.0560131795716634,1.0,corrected,1.0,0.0051546391752577,0.0204081632653061,0.0,,0.0045592705167173,5.0,2.0,7.0,0.015053763440860216,0.024390243902439025,4.142857142857143,4.0,unconfirmed,not_applicable,none
Elijah Mitchell,PHI,28.0,216.0,00-0036567,0.0309653916211291,1.0,corrected,0.0,0.0,0.0,,,0.0078864353312302,0.0,1.0,1.0,0.0022935779816513763,0.011111111111111112,,5.0,unconfirmed,not_applicable,none
Jam Miller,NE,,216.0,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Jeremy McNichols,WAS,30.0,216.0,00-0033955,0.076244212962963,16.0,,9.0,0.0620689655172413,0.0714285714285714,0.0666666666666666,0.7037037037037037,0.4333333333333333,44.0,31.0,75.0,0.1875,0.5636363636363636,6.043478260869565,3.0,committee_back,3-down,none
Salvon Ahmed,CHI,27.0,216.0,00-0036020,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Jarquez Hunter,LAR,23.0,216.0,00-0040692,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Israel Abanikanda,DAL,23.0,216.0,00-0038389,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Dameon Pierce,PHI,26.0,216.0,00-0037258,0.00614828209764896,5.0,,0.0,0.0,0.0,0.0,,0.0129449838187702,14.0,1.0,15.0,0.034403669724770644,0.011111111111111112,2.5714285714285716,4.0,handcuff,not_applicable,none
Demond Claiborne,MIN,22.0,214.3,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Donovan Edwards,MIA,23.0,,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Carlos Washington,MIA,27.0,,00-0038930,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Will Shipley,PHI,23.0,216.0,00-0039746,0.031403940886699455,14.0,,1.0,0.0066225165562913,0.0,0.0714285714285714,0.2619047619047619,0.1554307116104868,14.0,12.0,26.0,0.0593607305936073,0.17391304347826086,4.565217391304348,3.0,handcuff,not_applicable,none
Seth McGowan,IND,24.0,215.9,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Kaytron Allen,WAS,23.0,204.2,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Tahj Brooks,CIN,24.0,215.9,00-0040208,0.004660087719298209,12.0,,0.0,0.0,0.0,0.0,,0.0338235294117647,16.0,2.0,18.0,0.04044943820224719,0.018018018018018018,3.176470588235294,3.0,handcuff,not_applicable,none
Devin Neal,NO,22.0,216.0,00-0040202,0.06352015732546706,9.0,corrected,6.0,0.0504201680672268,0.0571428571428571,0.0350877192982456,0.3004484304932735,0.2574102964118565,57.0,19.0,76.0,0.20052770448548812,0.24675324675324675,4.1891891891891895,3.0,handcuff,not_applicable,none
Devin Singletary,NYG,28.0,216.0,00-0035250,0.0377733598409543,17.0,,24.0,0.144578313253012,0.3269230769230769,0.0168067226890756,0.2755555555555555,0.2478336221837088,119.0,19.0,138.0,0.2787878787878788,0.1919191919191919,4.291970802919708,2.0,committee_back,2-down,none
Nicholas Singleton,TEN,22.0,208.9,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Jerome Ford,WAS,26.0,216.0,00-0037267,0.0801650456822871,13.0,,10.0,0.0847457627118644,0.1142857142857142,0.0,0.4808510638297872,0.3502454991816694,24.0,32.0,56.0,0.11740041928721175,0.2644628099173554,3.52,4.0,handcuff,not_applicable,none
Tyler Badie,DEN,26.0,215.9,00-0037085,0.05639982876712327,16.0,,6.0,0.036144578313253,0.0277777777777777,0.0,0.4248927038626609,0.2527301092043681,8.0,31.0,39.0,0.08609271523178808,0.28440366972477066,6.074074074074074,4.0,handcuff,not_applicable,none
Isaac Guerendo,SF,26.0,216.0,00-0039363,0.0,7.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,3.0,handcuff,not_applicable,none
Trevor Etienne,CAR,22.0,216.0,00-0040644,0.00625,17.0,,4.0,0.028169014084507,0.1,0.05,,0.0325497287522604,20.0,3.0,23.0,0.04771784232365145,0.03260869565217391,4.6521739130434785,2.0,handcuff,not_applicable,none
Andrew Beck,NYJ,30.0,,00-0034959,,,,3.0,0.0241935483870967,0.0357142857142857,0.0,,0.0572450805008944,,,,,,,,unconfirmed,not_applicable,none
Kendre Miller,NO,24.0,216.0,00-0038551,0.021491782553729227,7.0,,5.0,0.042016806722689,0.0571428571428571,0.0212765957446808,,0.0670826833073322,47.0,5.0,52.0,0.13720316622691292,0.06493506493506493,4.288461538461538,5.0,handcuff,not_applicable,none
Reggie Gilliam,NE,28.0,,00-0036187,0.006452837350540835,11.0,,2.0,0.0102564102564102,0.015625,0.0,0.119047619047619,0.0955882352941176,2.0,2.0,4.0,0.007889546351084813,0.022727272727272728,7.0,3.0,handcuff,not_applicable,none
Kaleb Johnson,PIT,22.0,216.0,00-0040142,0.006513409961685699,10.0,,4.0,0.0253164556962025,0.0,0.0,,0.0308747855917667,28.0,2.0,30.0,0.061855670103092786,0.015151515151515152,2.689655172413793,3.0,handcuff,not_applicable,none
British Brooks,HOU,26.0,,00-0039603,0.0,8.0,,2.0,0.0127388535031847,0.0555555555555555,0.0588235294117647,,0.017799352750809,17.0,0.0,17.0,0.03655913978494624,0.0,4.588235294117647,4.0,handcuff,not_applicable,none
