player_name,position,draft_season,draft_pick,landing_team,college,height_inches,weight,forty_time,college_dominator_final_year,college_dominator_career,breakout_age,projected_tier,composite,sample_weight,status,tag,display_weight,display_status,display_tag,component_draft_capital,component_dominator,component_athletic,component_roster_competition,component_offense_environment,component_schedule,component_breakout_age,games,attempts,rushing_data_status,component_ncaa_passer_rating,generated_at
Jase McClellan,RB,2024,186,ATL,Alabama,,,,,,,committee,47.1,0.0,projected,committee,0.0,projected,committee,38.4,50.0,50.0,60.0,32.5,75.0,,,,,,2026-08-17T02:16:54+00:00
Casey Washington,WR,2024,187,ATL,Illinois,,,,,,,complementary,45.6,0.533,blended,unconfirmed,0.0,projected,complementary,34.6,50.0,,80.0,32.5,75.0,20.0,,,,,2026-08-17T02:16:54+00:00
Tejhaun Palmer,WR,2024,191,ARI,Ala-Birmingham,,,,,,,complementary,37.3,0.0,projected,complementary,0.0,projected,complementary,34.1,50.0,,20.0,42.5,72.5,20.0,,,,,2026-08-17T02:16:54+00:00
Jawhar Jordan,RB,2024,205,HOU,Louisville,,,,,,,committee,49.5,1.0,confirmed,handcuff,1.0,confirmed,handcuff,36.2,50.0,50.0,60.0,72.5,15.0,,,,,,2026-08-17T02:16:54+00:00
Dylan Laube,RB,2024,208,LV,New Hampshire,,,,,,,committee,44.6,0.44,blended,committee,1.0,confirmed,handcuff,35.8,50.0,50.0,60.0,20.0,77.5,,,,,,2026-08-17T02:16:54+00:00
Jordan Whittington,WR,2024,213,LAR,Texas,,,,,,,complementary,46.3,0.833,blended,unconfirmed,0.0,projected,complementary,31.7,50.0,,60.0,90.0,55.0,20.0,,,,,2026-08-17T02:16:54+00:00
Brenden Rice,WR,2024,225,LAC,USC,,,,,,,complementary,36.7,0.0,projected,complementary,0.0,projected,complementary,30.5,50.0,,20.0,50.0,70.0,20.0,,,,,2026-08-17T02:16:54+00:00
Tahj Washington,WR,2024,241,MIA,USC,,,,,,,complementary,44.4,0.0,projected,complementary,0.0,projected,complementary,29.1,50.0,,60.0,97.5,20.0,20.0,,,,,2026-08-17T02:16:54+00:00
Cornelius Johnson,WR,2024,253,LAC,Michigan,,,,,,,complementary,35.8,0.0,projected,complementary,0.0,projected,complementary,28.1,50.0,,20.0,50.0,70.0,20.0,,,,,2026-08-17T02:16:54+00:00
Travis Hunter,WR,2025,2,JAX,Colorado,,,,30.4,,21.0,complementary,71.8,0.0,projected,complementary,0.0,projected,complementary,98.0,66.9,,60.0,37.5,50.0,55.0,,,,,2026-08-17T02:16:54+00:00
Ashton Jeanty,RB,2025,6,LV,Boise St.,69.0,211.0,,,77.3,20.0,committee,65.9,1.0,confirmed,bellcow,1.0,confirmed,bellcow,95.1,100.0,50.0,40.0,20.0,77.5,,,,,,2026-08-17T02:16:54+00:00
Tetairoa McMillan,WR,2025,8,CAR,Arizona,76.0,219.0,,44.3,,21.0,alpha,78.8,1.0,confirmed,high_floor,1.0,confirmed,high_floor,92.5,97.5,,60.0,37.5,75.0,55.0,,,,,2026-08-17T02:16:54+00:00
Emeka Egbuka,WR,2025,19,TB,Ohio St.,73.0,202.0,,24.0,,21.0,complementary,70.6,1.0,confirmed,high_floor,1.0,confirmed,high_floor,83.9,52.8,,60.0,100.0,70.0,55.0,,,,,2026-08-17T02:16:54+00:00
