player_name,team,age,adp,player_id,target_share,games_played,target_share_data_quality_flag,redzone_target_share,redzone_targets,adot,receptions,targets,rush_attempts,yards_per_reception,yac_per_reception,rush_attempts_per_game,rush_yards_per_attempt,qb_tier,team_wr1_target_share,wr_archetype_primary,wr_leans,wr_qb_context
Chris Godwin,TB,30.0,90.1,00-0033921,0.1780653111521873,9.0,corrected,0.1052631578947368,8.0,6.9423076923076925,33.0,51.0,0.0,10.909090909090908,6.242424242424242,0.0,,4.0,0.234750462107209,high_floor,yac,below_average_qb_context
Jordan Addison,MIN,24.0,88.6,00-0038994,0.20497557997558022,14.0,corrected,0.1688311688311688,13.0,13.708860759493673,42.0,79.0,2.0,14.523809523809524,3.3095238095238093,0.14285714285714285,40.5,5.0,0.301282051282051,boom_bust,deep_threat,below_average_qb_context
Jordyn Tyson,NO,21.0,63.7,,,,,,,,,,,,,,,5.0,0.29336283185840656,unconfirmed,none,below_average_qb_context
Xavier Worthy,KC,23.0,99.6,00-0039894,0.16146239916731736,14.0,corrected,0.074074074074074,6.0,12.931506849315069,42.0,73.0,11.0,12.666666666666666,4.595238095238095,0.7857142857142857,7.909090909090909,3.0,0.30191256830601004,boom_bust,none,average_qb_context
Josh Downs,IND,24.0,87.2,00-0038997,0.17641509433962307,16.0,,0.180722891566265,15.0,7.488636363636363,58.0,88.0,2.0,9.758620689655173,2.4827586206896552,0.125,-1.0,2.0,0.17962264150943413,high_floor,none,elite_qb_context
Khalil Shakir,BUF,26.0,126.5,00-0037261,0.21072546972860132,16.0,,0.1923076923076923,15.0,3.597938144329897,72.0,95.0,1.0,9.98611111111111,7.513888888888889,0.0625,5.0,1.0,0.21072546972860132,high_floor,yac,elite_qb_context
Makai Lemon,PHI,22.0,73.6,,,,,,,,,,,,,,,3.0,0.243534482758621,unconfirmed,none,average_qb_context
Romeo Doubs,NE,26.0,116.2,00-0037816,0.19633152173913024,16.0,,0.2608695652173913,18.0,12.616279069767442,55.0,85.0,0.0,13.163636363636364,2.963636363636364,0.0,,1.0,0.2955459770114948,boom_bust,red_zone,elite_qb_context
Rashid Shaheed,SEA,27.0,130.1,00-0037545,0.16283185840708,17.0,,0.0307692307692307,2.0,11.73076923076923,59.0,92.0,9.0,11.64406779661017,3.0,0.5,7.666666666666667,3.0,0.358241758241758,boom_bust,none,average_qb_context
John Metchie,CAR,26.0,215.9,00-0037614,0.13527851458885948,13.0,corrected,0.081967213114754,5.0,5.954545454545454,33.0,48.0,3.0,8.303030303030303,4.242424242424242,0.23076923076923078,-1.6666666666666667,5.0,0.254166666666667,complementary,none,below_average_qb_context
Matthew Golden,GB,23.0,107.9,00-0040667,0.1161490683229814,14.0,corrected,0.0289855072463768,2.0,12.545454545454543,29.0,44.0,10.0,12.448275862068966,3.4827586206896552,0.7142857142857143,4.9,2.0,0.2032608695652168,complementary,none,elite_qb_context
