player_name,position,team,adp,adp_rank,age,injury_status,injury_risk,player_id,career_touches,snap_share,depth_chart_competition,target_share_rate,opportunity_share_rate,games_recent,target_share_data_quality_flag,redzone_target_share,redzone_carry_share,td_rate_vs_baseline,value_signal_market,volatility_diagnostic,target_share_percentile,opportunity_share_percentile,snap_share_percentile,epa_rank,pace_rank,scoring_rank,home_climate,road_cold_games,bye_week,season_sos_rank,short_week_or_primetime_games,injury_score,injury_acute_score,injury_chronic_score,games_missed_by_season,injury_severity_by_season,injury_override_note,role_usage_td_score,role_usage_td_override_note,offense_environment_score,schedule_weather_venue_score,risk_index
Brandin Cooks,WR,FA,216.0,339.0,32.0,Active,30.0,00-0031236,792.0,0.3754448398576512,0.5,0.08332198774676648,0.08332198774676648,13.0,,0.0,0.0,0.0,,,0.3891891891891892,0.3891891891891892,0.53125,,,,,,,,,3.1,2.7,3.1,"{""2014"": 7, ""2015"": 1, ""2016"": 2, ""2017"": 1, ""2018"": 2, ""2019"": 3, ""2020"": 2, ""2021"": 1, ""2022"": 4, ""2023"": 1, ""2024"": 7, ""2025"": 4}","{""2014"": ""moderate"", ""2015"": ""minor"", ""2016"": ""minor"", ""2017"": ""minor"", ""2018"": ""minor"", ""2019"": ""moderate"", ""2020"": ""minor"", ""2021"": ""minor"", ""2022"": ""moderate"", ""2023"": ""minor"", ""2024"": ""moderate"", ""2025"": ""moderate""}",,2.3,,,,40.5
Brandon Dillon,TE,,216.0,340.0,26.0,Inactive,30.0,00-0035102,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.8,"{""2020"": 16, ""2021"": 17, ""2022"": 17, ""2023"": 17, ""2024"": 17, ""2025"": 17}","{""2020"": ""season_ending"", ""2021"": ""season_ending"", ""2022"": ""season_ending"", ""2023"": ""season_ending"", ""2024"": ""season_ending"", ""2025"": ""season_ending""}",,2.5,,,,66.7
Brandon Smith,WR,PIT,216.0,341.0,27.0,Active,30.0,00-0038113,0.0,0.0076335877862595,,,,,,,,,,,,,0.03125,14.0,25.0,17.0,outdoor,3.0,9.0,27.0,5.0,5.0,5.0,4.8,"{""2022"": 12, ""2023"": 16, ""2024"": 17, ""2025"": 17}","{""2022"": ""season_ending"", ""2023"": ""season_ending"", ""2024"": ""season_ending"", ""2025"": ""season_ending""}",,2.5,,2.6,2.6,60.0
Brenden Rice,WR,,216.0,343.0,24.0,Questionable,65.0,00-0039415,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,1.0,"{""2024"": 17, ""2025"": 17}","{""2024"": ""season_ending"", ""2025"": ""season_ending""}",,2.5,,,,62.5
Brennan Presley,WR,LAR,216.0,344.0,24.0,Active,30.0,00-0040597,,0.0,,,,,,,,,,,,,0.010416666666666666,2.0,4.0,1.0,dome,1.0,11.0,5.0,6.0,1.0,1.0,1.0,{},{},,2.5,,1.0,2.8,15.0
Brevin Jordan,TE,HOU,216.0,345.0,26.0,Active,30.0,00-0036556,53.0,,,,,,,,,,,,,,,22.0,5.0,26.0,outdoor,5.0,8.0,14.0,4.0,5.0,5.0,4.8,"{""2021"": 9, ""2022"": 8, ""2023"": 7, ""2024"": 15, ""2025"": 17}","{""2021"": ""moderate"", ""2022"": ""moderate"", ""2023"": ""moderate"", ""2024"": ""season_ending"", ""2025"": ""season_ending""}",,2.5,,3.0,4.4,62.1
Brian Hill,RB,,216.0,347.0,27.0,Active,30.0,00-0033567,247.0,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.8,"{""2017"": 13, ""2018"": 12, ""2019"": 7, ""2020"": 1, ""2021"": 16, ""2022"": 17, ""2023"": 17, ""2024"": 17, ""2025"": 17}","{""2017"": ""season_ending"", ""2018"": ""season_ending"", ""2019"": ""moderate"", ""2020"": ""minor"", ""2021"": ""season_ending"", ""2022"": ""season_ending"", ""2023"": ""season_ending"", ""2024"": ""season_ending"", ""2025"": ""season_ending""}",,2.5,,,,71.5
Bryant Koback,RB,,216.0,349.0,26.0,Inactive,30.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,{},{},,2.5,,,,17.1
C.J. Uzomah,TE,,216.0,352.0,32.0,Active,30.0,00-0032134,192.0,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.8,"{""2015"": 14, ""2016"": 9, ""2017"": 5, ""2018"": 1, ""2019"": 3, ""2020"": 15, ""2021"": 1, ""2022"": 3, ""2023"": 9, ""2024"": 15, ""2025"": 17}","{""2015"": ""season_ending"", ""2016"": ""moderate"", ""2017"": ""moderate"", ""2018"": ""minor"", ""2019"": ""moderate"", ""2020"": ""season_ending"", ""2021"": ""minor"", ""2022"": ""moderate"", ""2023"": ""moderate"", ""2024"": ""season_ending"", ""2025"": ""season_ending""}",,2.5,,,,66.7
CJ Donaldson,RB,NO,216.0,354.0,22.0,Active,30.0,,,,,,,,,,,,,,,,,27.0,12.0,28.0,dome,2.0,8.0,29.0,1.0,1.0,1.0,1.0,{},{},,2.5,,3.8,1.0,27.7
